entity_type,entity_key,field,override_value,reason,source_note,overridden_by,overridden_at
hospital,Brawijaya Hospital - Depok,hospital_name_alias,RSIA Brawijaya Bojongsari,"Bojongsari is a district (kecamatan) within Depok, and this is the only 'RSIA Brawijaya *' entry in the registry near Depok -- user confirmed this pairing 2026-08-09, though with lower confidence than the Mayapada Tangerang pairing above (no precise street address to cross-check, only the district-level location match).",Dashboard review 2026-08-09,claude,2026-08-09T00:00:00
hospital,"Rumah Sakit Siloam|-6.21909|106.8171913",display_alias,MRCCC Siloam Semanggi,"User pointed out on the dashboard map that this hospital STILL showed as the unrecognizable OSM name 'Rumah Sakit Siloam' even after its doctor data was correctly linked (via the hospital_name_alias override above) -- this project's rule against overwriting raw source data means Hospital.name stays untouched, so a separate display_alias field is shown ALONGSIDE it in the dashboard instead, purely for human recognizability.",Dashboard review 2026-08-09,claude,2026-08-09T00:00:00
hospital,grha kedoya,preferred_rank_group,EMC,"OSM name tag 'RS GRHA KEDOYA' has no 'emc' substring so _match_preferred_group() misses it, but this IS EMC's Kedoya branch (RS EMC Grha Kedoya in scraper output) confirmed by coordinate match at (-6.1683669, 106.7651412). Previously investigated 2026-08-08 and user explicitly declined this exact override at that time (see the note on the 'puri indah pondok indah' row above) -- user reversed that decision 2026-08-09 during the missing-data completion pass, confirming it's fine to tag.",Missing-data completion pass 2026-08-09 -- user confirmed after previously declining,claude,2026-08-09T00:00:00
hospital,Bethsaida Gading Serpong,hospital_name_alias,Bethsaida Hospital,"preferred_rank_group is already correctly 'Bethsaida' for OSM's only Bethsaida entry (tagged just 'Bethsaida Hospital', no branch name) -- the gap is fuzzy NAME matching: 'bethsaida gading serpong' vs 'bethsaida' scores only 54.5 (min of token_sort_ratio/ratio), well under the 80 threshold, since 'gading serpong' has no counterpart at all in the bare OSM name. Coordinate (-6.2552356, 106.622832) is in the Gading Serpong/Tangerang area, confirming the match; this is the group's only registry entry so no coordinate qualification is needed on the alias itself.",Missing-data completion pass 2026-08-09,claude,2026-08-09T00:00:00
hospital,UKRIDA Hospital (Jakarta Barat),hospital_name_alias,RS Ukrida Duri Kepa,"2 dermatologists (Duma Wenty Irene Sinambela, Dwi Martina Trisnowati) 'ride along' in Primaya's own scrape output listing UKRIDA Hospital as their practice location -- not a Primaya branch itself, but a distinct affiliated institution. Deliberately NOT tagged with any preferred_rank_group per user's explicit choice 2026-08-09 (data stays linked and visible under All Private/All Hospitals universes, but doesn't join the Preferred Private ranking as a single-hospital group). Fuzzy name match 'ukrida jakarta barat' vs 'ukrida duri kepa' scores only 55.6, hence the alias.",Missing-data completion pass 2026-08-09 -- user provided rsukrida.com/cari-dokter as a possible direct source; investigated (needs Playwright, not curl-reachable) and found it returns the SAME 2 doctors already known from Primaya, no 3rd doctor found -- user confirmed building a dedicated Playwright adapter is not worth it for this,claude,2026-08-09T00:00:00
hospital,Brawijaya Hospital - Antasari,hospital_name_alias,"RSIA Brawijaya|-6.2578905|106.8075967","Official Brawijaya address is Jl. Taman Brawijaya No. 1, Kebayoran Baru; this is the coordinate of the registry's RSIA Brawijaya row at that address. Coordinate qualification keeps the cross-source link explicit.",https://brawijayahospital.com/location/brawijaya-hospital-antasari,codex,2026-08-09T00:00:00
hospital,Mayapada Hospital Jakarta Selatan,hospital_name_alias,"Mayapada Hospital|-6.2981069|106.7859833","Official branch address Jl. Lebak Bulus 1 Kav. 29 matches the bare-name Mayapada Hospital registry row at this coordinate. Coordinate qualification avoids the separate bare-name Tangerang row.",https://mayapadahospital.com/news/gratis-vaksin-moderna-untuk-umum-di-mayapada-hospital-jakarta-selatan-mhjs,codex,2026-08-09T00:00:00
hospital,Primaya Hospital Bekasi Barat,hospital_name_alias,"Primaya Hospital|-6.2475249|106.9839607","Official branch address Jl. K. H. Noer Ali Kav.17-18 matches this bare-name Primaya Hospital registry row.",https://primayahospital.com/telepon-kami/,codex,2026-08-09T00:00:00
hospital,Primaya Hospital Bekasi Timur,hospital_name_alias,"Primaya Hospital|-6.2600864|107.02051","Official doctor profile identifies dr. Dia Febrina's otherwise schedule-less Bekasi record as Bekasi Timur; this coordinate is the bare-name Primaya Hospital registry row on Jl. H.M. Joyomartono.",https://primayahospital.com/doctor/dr-dia-febrina-sp-kk/,codex,2026-08-09T00:00:00
hospital,Primaya Hospital Kelapa Gading,hospital_name_alias,"Primaya Hospital|-6.1640052|106.9296244","Official branch directory identifies Kelapa Gading at Sedayu City; this coordinate is the corresponding bare-name Primaya Hospital registry row.",https://primayahospital.com/rumah-sakit/kelapa-gading/,codex,2026-08-09T00:00:00
hospital,Primaya Hospital Pasar Kemis,hospital_name_alias,"Rumah Sakit Primaya|-6.171649|106.5520513","Official branch address on Jl. Raya Pasar Kemis matches this generic registry row exactly.",https://primayahospital.com/rumah-sakit/pasar-kemis/,codex,2026-08-09T00:00:00
hospital,Siloam Hospitals Bogor,hospital_name_alias,"Siloam|-6.5955895|106.8049335","Official Siloam API reports Jl. Pajajaran No.27; the registry row at this coordinate is tagged only Siloam.",https://www.siloamhospitals.com/dokter/dr-puspitasari-dewi-spkk,codex,2026-08-09T00:00:00
doctor,https://primayahospital.com/doctor/dr-dia-febrina-sp-kk/,hospital_name,Primaya Hospital Bekasi Timur,"The scraped card only says Bekasi and its schedule HTML is empty, but the official doctor profile explicitly says this doctor practices at Primaya Hospital Bekasi Timur. A doctor-scoped fallback is safer than globally mapping every bare Bekasi value to one branch.",https://primayahospital.com/doctor/dr-dia-febrina-sp-kk/,codex,2026-08-09T00:00:00
hospital,medika bsd,preferred_rank_group,Columbia Asia,"The official Columbia Asia site states the BSD hospital transformed in September 2023; the registry still carries its former RS Medika BSD name at the same address and location.",https://columbiaasia.co.id/rs-columbia-asia-bsd/,codex,2026-08-09T00:00:00
hospital,RS Columbia Asia BSD,hospital_name_alias,RS Medika BSD,"Official current Columbia Asia BSD name linked to the registry row that retains the former RS Medika BSD name.",https://columbiaasia.co.id/rs-columbia-asia-bsd/informasi-umum-bsd/,codex,2026-08-09T00:00:00
hospital,"RS Medika BSD|-6.2842949|106.6677787",display_alias,RS Columbia Asia BSD,"Show the current official hospital name while preserving the raw historical OSM name for audit.",https://columbiaasia.co.id/rs-columbia-asia-bsd/,codex,2026-08-09T00:00:00
hospital,RS Columbia Asia Pulomas,hospital_name_alias,RSKB Columbia Asia Pulomas,"Official doctor pages use the public branch name RS Columbia Asia Pulomas; the more specific registry row uses its RSKB legal form.",https://columbiaasia.co.id/rs-columbia-asia-jakarta/,codex,2026-08-09T00:00:00
hospital,"Rumah Sakit Columbia Asia|-6.1819789|106.8911924",duplicate_of,"RSKB Columbia Asia Pulomas|-6.1821493|106.891082","The two OSM rows are about 27 metres apart at the same Columbia Asia Pulomas facility; retain the specific RSKB row as canonical.",https://columbiaasia.co.id/rs-columbia-asia-jakarta/,codex,2026-08-09T00:00:00
hospital,Hermina Periuk Tangerang,hospital_name_alias,RS Hermina Periuk,"The official Hermina API identifies Periuk Tangerang as its own branch; without this alias fuzzy matching incorrectly selects the separate RS Hermina Tangerang row.",https://herminahospitals.com/id/branch/hermina-periuk,codex,2026-08-09T00:00:00
hospital,radjak salemba,preferred_rank_group,Radjak Hospital,"Official Radjak doctor cards identify this registry row as Radjak Hospital Salemba.",https://www.radjakhospital.com/dokter?unit=salemba&spesialis=17&hari=All,codex,2026-08-09T00:00:00
hospital,dr abdul radjak cibitung,preferred_rank_group,Radjak Hospital,"Official Radjak unit filter names the Cibitung branch as Radjak Hospital Cibitung; the registry retains its fuller legal name.",https://www.radjakhospital.com/group/unit/cibitung,codex,2026-08-09T00:00:00
hospital,Radjak Hospital Cibitung,hospital_name_alias,"Rumah Sakit Dr. Abdul Radjak, Cibitung","Official current brand name linked to the registry's fuller legal-name row.",https://www.radjakhospital.com/group/unit/cibitung,codex,2026-08-09T00:00:00
hospital,sentra medika cibinong,preferred_rank_group,Sentra Medika Hospital Group,"Official Sentra Medika Hospital Group branch page confirms the Cibinong facility belongs to this network.",https://sentramedikahospitals.com/hospital/detail/sentra-medika-hospital-cibinong,codex,2026-08-09T00:00:00
hospital,sentra medika cisalak,preferred_rank_group,Sentra Medika Hospital Group,"Official Sentra Medika Hospital Group branch page confirms the Cisalak facility belongs to this network.",https://sentramedikahospitals.com/hospital/detail/sentra-medika-hospital-cisalak,codex,2026-08-09T00:00:00
